19,2023-06-06 22:53:06.897715+00,2023-06-06 22:53:06.897716+00,43.36,2023-03-07 01:28:20.470336+00,2
20,2023-06-06 22:53:06.897721+00,2023-06-06 22:53:06.897732+00,1.32,2023-03-07 01:28:20.470336+00,2
21,2023-06-06 22:53:06.89774+00,2023-06-06 22:53:06.897741+00,1.41,2023-03-07 01:28:20.470336+00,2
22,2023-06-06 22:53:06.897746+00,2023-06-06 22:53:06.897756+00,1.93,2023-03-07 01:28:20.470336+00,2
23,2023-06-06 22:53:06.897764+00,2023-06-06 22:53:06.897765+00,2.53,2023-03-07 01:28:20.470336+00,2
24,2023-06-06 22:53:06.89777+00,2023-06-06 22:53:06.897771+00,1.88,2023-03-07 01:28:20.470336+00,2
25,2023-06-06 22:53:06.897776+00,2023-06-06 22:53:06.897777+00,1.17,2023-03-07 01:28:20.470336+00,2
26,2023-06-06 22:53:06.897782+00,2023-06-06 22:53:06.897794+00,2.38,2023-03-07 01:28:20.470336+00,2
27,2023-06-06 22:53:06.897803+00,2023-06-06 22:53:06.897804+00,3.96,2023-03-07 01:28:56.323146+00,2
28,2023-06-06 22:53:06.897809+00,2023-06-06 22:53:06.89783+00,2.20,2023-03-07 01:29:15.470371+00,2
29,2023-06-06 22:53:06.897849+00,2023-06-06 22:53:06.89785+00,5.59,2023-03-07 01:29:52.775627+00,2
30,2023-06-06 22:53:06.897856+00,2023-06-06 22:53:06.897866+00,1.05,2023-03-07 01:30:01.525907+00,2
31,2023-06-06 22:53:06.897873+00,2023-06-06 22:53:06.897875+00,1.92,2023-03-07 01:30:24.786264+00,2
32,2023-06-06 22:53:06.897879+00,2023-06-06 22:53:06.897881+00,1.62,2023-03-07 01:30:49.580293+00,2
33,2023-06-06 22:53:06.897886+00,2023-06-06 22:53:06.897887+00,4.00,2023-03-07 01:31:30.426191+00,2
34,2023-06-06 22:53:06.897892+00,2023-06-06 22:53:06.897894+00,1.68,2023-03-07 01:31:49.964309+00,2
35,2023-06-06 22:53:06.897899+00,2023-06-06 22:53:06.8979+00,4.10,2023-03-07 01:32:14.966312+00,2
36,2023-06-06 22:53:06.897905+00,2023-06-06 22:53:06.897906+00,2.02,2023-03-07 01:32:43.172288+00,2
37,2023-06-06 22:53:06.89791+00,2023-06-06 22:53:06.897912+00,1.92,2023-03-07 01:33:09.249275+00,2
38,2023-06-06 22:53:06.897931+00,2023-06-06 22:53:06.897933+00,1.62,2023-03-07 01:33:31.911619+00,2
39,2023-06-06 22:53:06.897939+00,2023-06-06 22:53:06.897941+00,21.03,2023-03-07 01:34:20.943378+00,2
40,2023-06-06 22:53:06.897957+00,2023-06-06 22:53:06.897959+00,1.10,2023-03-07 01:34:40.966459+00,2
41,2023-06-06 22:53:06.897983+00,2023-06-06 22:53:06.897984+00,11.44,2023-03-07 01:35:22.832574+00,2
42,2023-06-06 22:53:06.897991+00,2023-06-06 22:53:06.897992+00,11.72,2023-03-07 01:36:04.315547+00,2
