id,created_at,updated_at,multiplier,multiplier_dt,home_bet_id
72,2023-03-07 01:50:48.920817+00:00,2023-03-07 01:50:48.920825+00:00,1.04,2023-03-07 01:50:48.917660+00:00,2
73,2023-03-07 01:50:48.920840+00:00,2023-03-07 01:50:48.920866+00:00,5.75,2023-03-07 01:50:48.917660+00:00,2
74,2023-03-07 01:50:48.920883+00:00,2023-03-07 01:50:48.920889+00:00,4.97,2023-03-07 01:50:48.917660+00:00,2
75,2023-03-07 01:50:50.430736+00:00,2023-03-07 01:50:50.430746+00:00,2.05,2023-03-07 01:50:50.430560+00:00,2
76,2023-03-07 01:51:18.151766+00:00,2023-03-07 01:51:18.151859+00:00,3.84,2023-03-07 01:51:18.151365+00:00,2
77,2023-03-07 01:51:46.240633+00:00,2023-03-07 01:51:46.240693+00:00,3.93,2023-03-07 01:51:46.240246+00:00,2
78,2023-03-07 01:52:25.028421+00:00,2023-03-07 01:52:25.028498+00:00,8.82,2023-03-07 01:52:25.027760+00:00,2
79,2023-03-07 01:52:44.165259+00:00,2023-03-07 01:52:44.165317+00:00,1.03,2023-03-07 01:52:44.164859+00:00,2
80,2023-03-07 01:53:24.008144+00:00,2023-03-07 01:53:24.008200+00:00,9.67,2023-03-07 01:53:24.007763+00:00,2
81,2023-03-07 01:53:58.927239+00:00,2023-03-07 01:53:58.927328+00:00,6.77,2023-03-07 01:53:58.926841+00:00,2
82,2023-03-07 01:54:25.865935+00:00,2023-03-07 01:54:25.865996+00:00,3.16,2023-03-07 01:54:25.865508+00:00,2
83,2023-03-07 01:54:50.878866+00:00,2023-03-07 01:54:50.878922+00:00,1.63,2023-03-07 01:54:50.878500+00:00,2
84,2023-03-07 01:55:02.987684+00:00,2023-03-07 01:55:02.987695+00:00,1.28,2023-03-07 01:55:02.987458+00:00,2
85,2023-03-07 01:55:24.614040+00:00,2023-03-07 01:55:24.614102+00:00,1.45,2023-03-07 01:55:24.613573+00:00,2
86,2023-03-07 01:55:34.092922+00:00,2023-03-07 01:55:34.092971+00:00,1.24,2023-03-07 01:55:34.092613+00:00,2
87,2023-03-07 01:56:04.234429+00:00,2023-03-07 01:56:04.234445+00:00,4.53,2023-03-07 01:56:04.234219+00:00,2
88,2023-03-07 01:56:26.689269+00:00,2023-03-07 01:56:26.689327+00:00,1.82,2023-03-07 01:56:26.688893+00:00,2
89,2023-03-07 01:56:44.815013+00:00,2023-03-07 01:56:44.815079+00:00,1.00,2023-03-07 01:56:44.814644+00:00,2
90,2023-03-07 01:56:52.034212+00:00,2023-03-07 01:56:52.034289+00:00,1.03,2023-03-07 01:56:52.033866+00:00,2
91,2023-03-07 01:57:31.575970+00:00,2023-03-07 01:57:31.576049+00:00,6.49,2023-03-07 01:57:31.575584+00:00,2
92,2023-03-07 01:57:50.882551+00:00,2023-03-07 01:57:50.882613+00:00,1.44,2023-03-07 01:57:50.882084+00:00,2
93,2023-03-07 01:58:34.455957+00:00,2023-03-07 01:58:34.456002+00:00,17.68,2023-03-07 01:58:34.455589+00:00,2
94,2023-03-07 01:58:51.818985+00:00,2023-03-07 01:58:51.819083+00:00,1.14,2023-03-07 01:58:51.818340+00:00,2
95,2023-03-07 01:59:14.693925+00:00,2023-03-07 01:59:14.694004+00:00,2.40,2023-03-07 01:59:14.693463+00:00,2
96,2023-03-07 01:59:33.526769+00:00,2023-03-07 01:59:33.526806+00:00,1.81,2023-03-07 01:59:33.526510+00:00,2
97,2023-03-07 01:59:50.877970+00:00,2023-03-07 01:59:50.877981+00:00,1.29,2023-03-07 01:59:50.877816+00:00,2
98,2023-03-07 02:00:31.090354+00:00,2023-03-07 02:00:31.090398+00:00,10.73,2023-03-07 02:00:31.089948+00:00,2
99,2023-03-07 02:00:58.666064+00:00,2023-03-07 02:00:58.666108+00:00,3.79,2023-03-07 02:00:58.665574+00:00,2
100,2023-03-07 02:01:22.858754+00:00,2023-03-07 02:01:22.858806+00:00,2.12,2023-03-07 02:01:22.858341+00:00,2
101,2023-03-07 02:02:19.512280+00:00,2023-03-07 02:02:19.512350+00:00,39.86,2023-03-07 02:02:19.511488+00:00,2
102,2023-03-07 02:02:40.808983+00:00,2023-03-07 02:02:40.809039+00:00,1.90,2023-03-07 02:02:40.808612+00:00,2
103,2023-03-07 02:02:59.756594+00:00,2023-03-07 02:02:59.756670+00:00,1.64,2023-03-07 02:02:59.756085+00:00,2
104,2023-03-07 02:04:01.995593+00:00,2023-03-07 02:04:01.995680+00:00,1.84,2023-03-07 02:04:01.995065+00:00,2
105,2023-03-07 02:04:07.007683+00:00,2023-03-07 02:04:07.007741+00:00,7.35,2023-03-07 02:04:07.007326+00:00,2
106,2023-03-07 02:04:48.703106+00:00,2023-03-07 02:04:48.703157+00:00,21.38,2023-03-07 02:04:48.702723+00:00,2
107,2023-03-07 02:05:05.467730+00:00,2023-03-07 02:05:05.467779+00:00,1.00,2023-03-07 02:05:05.467337+00:00,2
108,2023-03-07 02:05:22.289097+00:00,2023-03-07 02:05:22.289159+00:00,2.17,2023-03-07 02:05:22.288721+00:00,2
109,2023-03-07 02:05:39.354177+00:00,2023-03-07 02:05:39.354223+00:00,1.39,2023-03-07 02:05:39.353852+00:00,2
110,2023-03-07 02:05:55.199530+00:00,2023-03-07 02:05:55.199606+00:00,1.17,2023-03-07 02:05:55.199038+00:00,2
111,2023-03-07 02:08:34.264865+00:00,2023-03-07 02:08:34.264917+00:00,1.23,2023-03-07 02:08:34.264294+00:00,2
112,2023-03-07 02:08:34.265486+00:00,2023-03-07 02:08:34.265493+00:00,1.68,2023-03-07 02:08:34.265293+00:00,2
113,2023-03-07 02:08:34.271636+00:00,2023-03-07 02:08:34.271655+00:00,1.36,2023-03-07 02:08:34.265293+00:00,2
114,2023-03-07 02:08:34.271703+00:00,2023-03-07 02:08:34.271706+00:00,1.46,2023-03-07 02:08:34.265293+00:00,2
115,2023-03-07 02:08:34.271718+00:00,2023-03-07 02:08:34.271721+00:00,1.06,2023-03-07 02:08:34.265293+00:00,2
116,2023-03-07 02:08:34.271731+00:00,2023-03-07 02:08:34.271734+00:00,2.12,2023-03-07 02:08:34.265293+00:00,2
117,2023-03-07 02:08:34.271744+00:00,2023-03-07 02:08:34.271746+00:00,1.62,2023-03-07 02:08:34.265293+00:00,2
118,2023-03-07 02:08:34.271756+00:00,2023-03-07 02:08:34.271758+00:00,2.51,2023-03-07 02:08:34.265293+00:00,2
119,2023-03-07 02:08:56.881827+00:00,2023-03-07 02:08:56.881871+00:00,1.42,2023-03-07 02:08:56.881493+00:00,2
120,2023-03-07 02:09:20.143743+00:00,2023-03-07 02:09:20.143783+00:00,2.05,2023-03-07 02:09:20.143435+00:00,2
121,2023-03-07 02:09:58.578968+00:00,2023-03-07 02:09:58.579016+00:00,9.54,2023-03-07 02:09:58.578544+00:00,2
122,2023-03-07 02:10:20.385074+00:00,2023-03-07 02:10:20.385122+00:00,1.42,2023-03-07 02:10:20.384749+00:00,2
123,2023-03-07 02:10:32.503514+00:00,2023-03-07 02:10:32.503577+00:00,1.01,2023-03-07 02:10:32.503160+00:00,2
124,2023-03-07 02:11:29.073207+00:00,2023-03-07 02:11:29.073249+00:00,39.36,2023-03-07 02:11:29.072867+00:00,2
125,2023-03-07 02:11:48.290172+00:00,2023-03-07 02:11:48.290227+00:00,1.10,2023-03-07 02:11:48.289702+00:00,2
126,2023-03-07 02:11:55.648889+00:00,2023-03-07 02:11:55.648899+00:00,1.02,2023-03-07 02:11:55.648750+00:00,2
127,2023-03-07 02:12:07.476624+00:00,2023-03-07 02:12:07.476669+00:00,1.01,2023-03-07 02:12:07.476264+00:00,2
128,2023-03-07 02:12:36.060827+00:00,2023-03-07 02:12:36.060892+00:00,2.50,2023-03-07 02:12:36.060293+00:00,2
129,2023-03-07 02:12:51.383106+00:00,2023-03-07 02:12:51.383155+00:00,1.60,2023-03-07 02:12:51.382790+00:00,2
130,2023-03-07 02:13:15.604885+00:00,2023-03-07 02:13:15.604897+00:00,2.42,2023-03-07 02:13:15.604693+00:00,2
131,2023-03-07 02:13:52.289947+00:00,2023-03-07 02:13:52.289971+00:00,5.34,2023-03-07 02:13:52.289765+00:00,2
132,2023-03-07 02:14:10.980034+00:00,2023-03-07 02:14:10.980096+00:00,2.70,2023-03-07 02:14:10.979653+00:00,2
133,2023-03-07 02:14:58.941349+00:00,2023-03-07 02:14:58.941397+00:00,13.42,2023-03-07 02:14:58.940995+00:00,2
134,2023-03-07 02:15:38.961212+00:00,2023-03-07 02:15:38.961264+00:00,15.94,2023-03-07 02:15:38.960868+00:00,2
135,2023-03-07 02:16:02.998216+00:00,2023-03-07 02:16:02.998274+00:00,2.76,2023-03-07 02:16:02.997846+00:00,2
136,2023-03-07 02:16:26.371873+00:00,2023-03-07 02:16:26.371940+00:00,1.73,2023-03-07 02:16:26.371498+00:00,2
137,2023-03-07 02:16:40.022622+00:00,2023-03-07 02:16:40.022670+00:00,1.26,2023-03-07 02:16:40.022247+00:00,2
138,2023-03-07 02:16:59.728694+00:00,2023-03-07 02:16:59.728759+00:00,1.21,2023-03-07 02:16:59.728181+00:00,2
139,2023-03-07 02:17:22.155853+00:00,2023-03-07 02:17:22.155915+00:00,3.75,2023-03-07 02:17:22.155446+00:00,2
140,2023-03-07 02:17:47.972953+00:00,2023-03-07 02:17:47.973047+00:00,1.36,2023-03-07 02:17:47.972369+00:00,2
141,2023-03-07 02:18:24.903034+00:00,2023-03-07 02:18:24.903096+00:00,11.91,2023-03-07 02:18:24.902636+00:00,2
142,2023-03-07 02:18:39.059730+00:00,2023-03-07 02:18:39.059785+00:00,1.09,2023-03-07 02:18:39.059401+00:00,2
143,2023-03-07 02:19:08.254222+00:00,2023-03-07 02:19:08.254284+00:00,3.75,2023-03-07 02:19:08.253812+00:00,2
144,2023-03-07 02:19:39.727761+00:00,2023-03-07 02:19:39.727846+00:00,2.40,2023-03-07 02:19:39.726181+00:00,2
145,2023-03-07 02:19:52.575837+00:00,2023-03-07 02:19:52.575898+00:00,1.00,2023-03-07 02:19:52.575338+00:00,2
146,2023-03-07 02:20:16.599298+00:00,2023-03-07 02:20:16.599365+00:00,2.21,2023-03-07 02:20:16.598765+00:00,2
147,2023-03-07 02:20:53.156144+00:00,2023-03-07 02:20:53.156207+00:00,7.96,2023-03-07 02:20:53.155650+00:00,2
148,2023-03-07 02:21:07.987984+00:00,2023-03-07 02:21:07.988047+00:00,1.14,2023-03-07 02:21:07.987366+00:00,2
149,2023-03-07 02:21:30.878352+00:00,2023-03-07 02:21:30.878401+00:00,1.45,2023-03-07 02:21:30.877989+00:00,2
150,2023-03-07 02:21:54.248901+00:00,2023-03-07 02:21:54.248962+00:00,2.07,2023-03-07 02:21:54.248455+00:00,2
151,2023-03-07 02:22:11.172836+00:00,2023-03-07 02:22:11.172892+00:00,1.37,2023-03-07 02:22:11.172502+00:00,2
152,2023-03-07 02:22:38.822712+00:00,2023-03-07 02:22:38.822772+00:00,1.51,2023-03-07 02:22:38.822319+00:00,2
153,2023-03-07 02:23:10.251122+00:00,2023-03-07 02:23:10.251181+00:00,7.57,2023-03-07 02:23:10.250727+00:00,2
154,2023-03-07 02:23:36.725698+00:00,2023-03-07 02:23:36.725761+00:00,1.13,2023-03-07 02:23:36.725206+00:00,2
155,2023-03-07 02:24:01.354493+00:00,2023-03-07 02:24:01.354544+00:00,2.86,2023-03-07 02:24:01.354136+00:00,2
156,2023-03-07 02:24:08.346695+00:00,2023-03-07 02:24:08.346750+00:00,1.00,2023-03-07 02:24:08.346305+00:00,2
157,2023-03-07 02:24:31.658173+00:00,2023-03-07 02:24:31.658221+00:00,1.33,2023-03-07 02:24:31.657768+00:00,2
158,2023-03-07 02:24:51.825209+00:00,2023-03-07 02:24:51.825260+00:00,1.56,2023-03-07 02:24:51.824857+00:00,2
159,2023-03-07 02:25:05.557232+00:00,2023-03-07 02:25:05.557289+00:00,1.21,2023-03-07 02:25:05.556794+00:00,2
160,2023-03-07 02:25:31.660338+00:00,2023-03-07 02:25:31.660429+00:00,2.51,2023-03-07 02:25:31.659667+00:00,2
161,2023-03-07 02:26:21.173373+00:00,2023-03-07 02:26:21.173427+00:00,22.78,2023-03-07 02:26:21.173036+00:00,2
162,2023-03-07 02:26:47.937770+00:00,2023-03-07 02:26:47.937831+00:00,2.61,2023-03-07 02:26:47.937430+00:00,2
163,2023-03-07 02:27:13.570994+00:00,2023-03-07 02:27:13.571044+00:00,2.98,2023-03-07 02:27:13.570655+00:00,2
164,2023-03-07 02:27:29.130186+00:00,2023-03-07 02:27:29.130232+00:00,1.13,2023-03-07 02:27:29.129878+00:00,2
165,2023-03-07 02:27:43.473987+00:00,2023-03-07 02:27:43.474047+00:00,1.18,2023-03-07 02:27:43.473605+00:00,2
166,2023-03-07 02:27:57.343928+00:00,2023-03-07 02:27:57.343981+00:00,1.00,2023-03-07 02:27:57.343581+00:00,2
167,2023-03-07 02:28:24.790679+00:00,2023-03-07 02:28:24.790725+00:00,3.55,2023-03-07 02:28:24.790365+00:00,2
168,2023-03-07 02:29:06.755641+00:00,2023-03-07 02:29:06.755691+00:00,2.02,2023-03-07 02:29:06.755282+00:00,2
169,2023-03-07 02:29:13.073787+00:00,2023-03-07 02:29:13.073797+00:00,2.59,2023-03-07 02:29:13.073654+00:00,2
170,2023-03-07 02:29:28.190671+00:00,2023-03-07 02:29:28.190682+00:00,1.23,2023-03-07 02:29:28.190497+00:00,2
171,2023-03-07 02:29:59.387799+00:00,2023-03-07 02:29:59.387810+00:00,3.43,2023-03-07 02:29:59.387656+00:00,2
172,2023-03-07 02:30:21.118304+00:00,2023-03-07 02:30:21.118347+00:00,1.97,2023-03-07 02:30:21.118042+00:00,2
173,2023-03-07 02:30:39.914314+00:00,2023-03-07 02:30:39.914333+00:00,1.48,2023-03-07 02:30:39.914153+00:00,2
174,2023-03-07 02:31:10.444926+00:00,2023-03-07 02:31:10.444936+00:00,3.79,2023-03-07 02:31:10.444795+00:00,2
175,2023-03-07 02:31:26.199723+00:00,2023-03-07 02:31:26.199760+00:00,1.25,2023-03-07 02:31:26.199503+00:00,2
176,2023-03-07 02:31:48.822527+00:00,2023-03-07 02:31:48.822537+00:00,2.29,2023-03-07 02:31:48.822399+00:00,2
177,2023-03-07 02:32:00.651777+00:00,2023-03-07 02:32:00.651797+00:00,1.01,2023-03-07 02:32:00.651555+00:00,2
178,2023-03-07 02:32:22.869696+00:00,2023-03-07 02:32:22.869752+00:00,1.00,2023-03-07 02:32:22.869299+00:00,2
179,2023-03-07 02:32:33.940921+00:00,2023-03-07 02:32:33.940933+00:00,1.07,2023-03-07 02:32:33.940773+00:00,2
180,2023-03-07 02:32:53.676899+00:00,2023-03-07 02:32:53.676950+00:00,1.76,2023-03-07 02:32:53.676554+00:00,2
181,2023-03-07 02:33:19.394118+00:00,2023-03-07 02:33:19.394179+00:00,2.96,2023-03-07 02:33:19.393745+00:00,2
